number,value,params_dropout,params_hidden_dim,params_learning_rate,params_num_layers,params_pred_len,params_seq_len,user_attrs_metrics_block,user_attrs_time_sec,state
0,35.59785795560992,0.17959754525911098,96,0.0029106359131330704,6,1,15,"{'MAE': 20.68144598061062, 'RMSE': 35.59785795560992, 'MAPE': 786659801.8751942}",16.111222505569458,COMPLETE
1,33.60288960660263,0.2598528437324805,64,0.00013066739238053285,1,1,15,"{'MAE': 23.326208993474722, 'RMSE': 33.60288960660263, 'MAPE': 971436202.3002661}",13.670134544372559,COMPLETE
2,33.79860651405023,0.29097295564859826,160,0.00010994335574766199,5,1,15,"{'MAE': 22.219034624256917, 'RMSE': 33.79860651405023, 'MAPE': 790947034.7377787}",59.555016040802,COMPLETE
3,35.1052774749866,0.055021352956030146,224,0.0002310201887845295,2,1,15,"{'MAE': 20.699271504728255, 'RMSE': 35.1052774749866, 'MAPE': 874705090.1950047}",22.62942600250244,COMPLETE
4,44.61503484992767,0.08736874205941257,96,0.0007309539835912913,4,1,15,"{'MAE': 20.121542800018368, 'RMSE': 44.61503484992767, 'MAPE': 815636377.8309569}",14.40686297416687,COMPLETE
5,29.528031085015797,0.1099085529881075,160,0.0003839629299804173,1,1,15,"{'MAE': 18.590641449636387, 'RMSE': 29.528031085015797, 'MAPE': 681883552.9770815}",16.58301091194153,COMPLETE
6,67.83391539015675,0.15427033152408348,128,0.00025081156860452336,5,1,15,"{'MAE': 25.898606227487548, 'RMSE': 67.83391539015675, 'MAPE': 1224637153.1896994}",22.652419090270996,COMPLETE
7,30.415173783565866,0.051157237106187456,160,0.0016409286730647919,1,1,15,"{'MAE': 18.42602180995793, 'RMSE': 30.415173783565866, 'MAPE': 726475360.2128005}",8.621785402297974,COMPLETE
8,46.058481502124955,0.24251920443493832,32,0.00853618986286683,6,1,15,"{'MAE': 31.44668876343889, 'RMSE': 46.058481502124955, 'MAPE': 1370873925.0963113}",5.622274875640869,COMPLETE
9,28.598222000138353,0.13204574812188039,96,0.0023359635026261607,1,1,15,"{'MAE': 17.811228255431818, 'RMSE': 28.598222000138353, 'MAPE': 623317631.632542}",4.937929153442383,COMPLETE
10,30.338481091908864,0.0053885626844459855,256,0.0050926544310684685,3,1,15,"{'MAE': 19.31660472786357, 'RMSE': 30.338481091908864, 'MAPE': 698506529.4810543}",6.943850517272949,COMPLETE
